#SUBMITTED ID	DOI	ISSUE	PAGES	PARENT_PUBLICATION_TITLE	PUBLICATION_TYPE	PUBMED_ID	RELATED_PUBLICATIONS	VOLUME
FBrf0174868	10.1242/jeb.00951	11	1797--1802	Journal of Experimental Biology	paper	15107435	-	207
FBrf0236735	10.1242/jeb.161646	18	3231--3237	Journal of Experimental Biology	paper	28684466	-	220
FBrf0224122	10.1242/jeb.093864	4	580--589	Journal of Experimental Biology	paper	24523501	FBrf0227374 <newline> FBrf0227436	217
FBrf0087313	-	3	411--423	Journal of Experimental Biology	paper	-	-	43
FBrf0210111	10.1242/jeb.037630	6	870--880	Journal of Experimental Biology	review	20190112	-	213
FBrf0220265	10.1242/jeb.074468	23	4157--4165	Journal of Experimental Biology	paper	22899531	-	215
FBrf0206054	10.1242/jeb.010124	19	3160--3166	Journal of Experimental Biology	paper	18805815	-	211
FBrf0099381	-	21	2747--2755	Journal of Experimental Biology	paper	9418031	-	200
FBrf0217454	10.1242/jeb.066860	5	766--773	Journal of Experimental Biology	paper	22323199	-	215
FBrf0180448	10.1242/jeb.01133	Pt 18	3125--3129	Journal of Experimental Biology	review	15299033	-	207
FBrf0225778	10.1242/jeb.105817	15	2796--2805	Journal of Experimental Biology	paper	24902744	-	217
FBrf0223645	10.1242/jeb.089920	1	109--118	Journal of Experimental Biology	review	24353210	-	217
FBrf0014022	-	-	793--809	Journal of Experimental Biology	paper	-	-	38
FBrf0237573	10.1242/jeb.164343	24	4644--4653	Journal of Experimental Biology	paper	29237767	-	220
FBrf0233206	10.1242/jeb.140152	16	2504--2513	Journal of Experimental Biology	paper	27307488	-	219
FBrf0005770	-	-	238--254	Journal of Experimental Biology	paper	-	-	19
FBrf0238507	10.1242/jeb.174771	6	jeb174771	Journal of Experimental Biology	paper	29361608	-	221
FBrf0212764	10.1242/jeb.048884	3	462--468	Journal of Experimental Biology	paper	21228205	-	214
FBrf0193571	-	10	i--a	Journal of Experimental Biology	note	-	-	209
FBrf0240260	10.1242/jeb.185884	19	jeb185884	Journal of Experimental Biology	paper	30104306	-	221
FBrf0235578	10.1242/jeb.156232	10	1812--1819	Journal of Experimental Biology	paper	28235908	-	220
FBrf0010886	-	-	45--72	Journal of Experimental Biology	paper	-	-	33
FBrf0193999	10.1242/jeb.02614	24	5005--5016	Journal of Experimental Biology	paper	17142689	-	209
FBrf0225179	10.1242/jeb.101725	11	1894--1901	Journal of Experimental Biology	paper	24577449	-	217
FBrf0223525	10.1242/jeb.092502	24	4601--4607	Journal of Experimental Biology	paper	24072792	-	216
FBrf0088535	-	4	474--475	Journal of Experimental Biology	paper	-	-	16
FBrf0138457	-	15	2699--2707	Journal of Experimental Biology	paper	11533120	-	204
FBrf0207954	10.1242/jeb.030007	11	1611--1619	Journal of Experimental Biology	review	19448071	-	212
FBrf0230042	10.1242/jeb.122622	21	3508--3519	Journal of Experimental Biology	paper	26385332	-	218
FBrf0095453	-	14	2007--2015	Journal of Experimental Biology	paper	9246784	-	200
FBrf0092512	-	2	237--245	Journal of Experimental Biology	paper	9050231	-	200
FBrf0220590	10.1242/jeb.079095	3	524--534	Journal of Experimental Biology	paper	23077158	-	216
FBrf0104894	-	21	2953--2959	Journal of Experimental Biology	paper	9866880	-	201
FBrf0167819	10.1242/jeb.00724	1	113--122	Journal of Experimental Biology	paper	14638838	-	207
FBrf0225358	10.1242/jeb.099135	12	2121--2129	Journal of Experimental Biology	paper	24675562	-	217
FBrf0220715	10.1242/jeb.074732	4	719--732	Journal of Experimental Biology	paper	23197097	FBrf0222806	216
FBrf0233898	10.1242/jeb.143396	21	3428--3438	Journal of Experimental Biology	paper	27591307	-	219
FBrf0089647	-	8	1837--1844	Journal of Experimental Biology	paper	8708583	-	199
FBrf0160522	10.1242/jeb.00498	16	2779--2786	Journal of Experimental Biology	paper	12847123	-	206
FBrf0208023	10.1242/jeb.029306	11	1731--1744	Journal of Experimental Biology	review	19448082	-	212
FBrf0084189	-	9	1843--1850	Journal of Experimental Biology	paper	7595159	-	198
FBrf0212066	10.1242/jeb.040402	21	3625--3635	Journal of Experimental Biology	paper	20952610	-	213
FBrf0147123	-	9	1233--1240	Journal of Experimental Biology	paper	11948200	-	205
FBrf0155907	-	10	1507--1518	Journal of Experimental Biology	paper	11976361	-	205
FBrf0001412	-	-	189--198	Journal of Experimental Biology	paper	-	-	2
FBrf0111791	-	21	3037--3048	Journal of Experimental Biology	paper	10518485	-	202
FBrf0191099	10.1242/jeb.02201	10	1837--1847	Journal of Experimental Biology	paper	16651550	-	209
FBrf0219148	10.1242/jeb.070029	17	2945--2949	Journal of Experimental Biology	paper	22875763	-	215
FBrf0210633	10.1242/jeb.040261	10	1665--1675	Journal of Experimental Biology	paper	20435817	-	213
FBrf0203059	10.1242/jeb.014837	6	890--899	Journal of Experimental Biology	paper	18310115	-	211
FBrf0218667	10.1242/jeb.068940	14	2405--2413	Journal of Experimental Biology	paper	22723479	-	215
FBrf0205135	10.1242/jeb.008268	13	2026--2045	Journal of Experimental Biology	paper	18552291	-	211
FBrf0105913	-	24	3411--3418	Journal of Experimental Biology	paper	9817837	-	201
FBrf0132035	-	23	3531--3546	Journal of Experimental Biology	paper	11060215	-	203
FBrf0235353	10.1242/jeb.149369	8	1405--1410	Journal of Experimental Biology	paper	28167805	-	220
FBrf0217179	10.1242/jeb.064048	3	461--470	Journal of Experimental Biology	paper	22246255	-	215
FBrf0213325	10.1242/jeb.052357	8	1271--1275	Journal of Experimental Biology	paper	21430203	-	214
FBrf0205837	10.1242/jeb.018879	15	2478--2485	Journal of Experimental Biology	paper	18626082	-	211
FBrf0240869	10.1242/jeb.186254	23	jeb186254	Journal of Experimental Biology	paper	30352823	-	221
FBrf0220818	10.1242/jeb.078758	5	859--868	Journal of Experimental Biology	paper	23155082	-	216
FBrf0211158	10.1242/jeb.041749	14	2494--2506	Journal of Experimental Biology	paper	20581279	-	213
FBrf0200481	10.1242/jeb.009035	20	3601--3606	Journal of Experimental Biology	paper	17921161	-	210
FBrf0184111	-	20	III	Journal of Experimental Biology	note	-	-	207
FBrf0019888	-	-	117--128, plate 1	Journal of Experimental Biology	paper	-	-	49
FBrf0227374	10.1242/jeb.117366	2	326--327	Journal of Experimental Biology	letter	25609787	FBrf0227436 <newline> FBrf0224122	218
FBrf0064429	-	-	173--189	Journal of Experimental Biology	paper	8228779	-	182
FBrf0224851	10.1242/jeb.095646	9	1437--1443	Journal of Experimental Biology	paper	24790098	-	217
FBrf0206668	10.1242/jeb.024216	3	413--423	Journal of Experimental Biology	review	19151216	-	212
