#SUBMITTED ID	DOI	ISSUE	PAGES	PARENT_PUBLICATION_TITLE	PUBLICATION_TYPE	PUBMED_ID	RELATED_PUBLICATIONS	VOLUME
FBrf0038298	-	-	73--113	Journal of Cell Science	paper	6818236	-	57
FBrf0036841	-	-	295--309	Journal of Cell Science	paper	7263783	-	47
FBrf0228612	10.1242/jcs.158477	3	566--575	Journal of Cell Science	paper	25501812	-	128
FBrf0200976	10.1242/jcs.006551	16	2924--2934	Journal of Cell Science	paper	17666430	-	120
FBrf0110649	-	16	2607--2613	Journal of Cell Science	review	10413669	-	112
FBrf0239999	10.1242/jcs.213595	17	jcs213595	Journal of Cell Science	paper	30131442	-	131
FBrf0238506	10.1242/jcs.207779	6	jcs207779	Journal of Cell Science	paper	29507112	-	131
FBrf0233736	10.1242/jcs.191585	20	3903--3910	Journal of Cell Science	paper	27591258	-	129
FBrf0111399	-	19	3289--3297	Journal of Cell Science	paper	10504334	-	112
FBrf0139719	-	17	3103--3114	Journal of Cell Science	paper	11590237	-	114
FBrf0159037	10.1242/jcs.00379	9	1733--1743	Journal of Cell Science	paper	12665554	-	116
FBrf0219779	10.1242/jcs.053850	9	2095--2104	Journal of Cell Science	review	22619228	-	125
FBrf0220745	10.1242/jcs.106336	22	5369--5378	Journal of Cell Science	paper	22956542	-	125
FBrf0058820	-	2	583--593	Journal of Cell Science	paper	8505381	-	104
FBrf0210630	10.1242/jcs.067546	9	1588--1599	Journal of Cell Science	paper	20388731	-	123
FBrf0221811	10.1242/jcs.126912	11	2331--2341	Journal of Cell Science	review	23729743	-	126
FBrf0239704	10.1242/jcs.217257	15	jcs217257	Journal of Cell Science	paper	29980590	-	131
FBrf0212150	10.1242/jcs.067934	21	3768--3779	Journal of Cell Science	paper	20940262	-	123
FBrf0204906	10.1242/jcs.031088	12	2018--2026	Journal of Cell Science	paper	18495840	-	121
FBrf0130043	-	18	3341--3350	Journal of Cell Science	paper	10954431	-	113
FBrf0039741	-	-	31--70	Journal of Cell Science	paper	6411748	-	61
FBrf0041228	-	-	95--109	Journal of Cell Science	paper	6715430	-	65
FBrf0213701	10.1242/jcs.083337	11	1844--1856	Journal of Cell Science	paper	21558413	-	124
FBrf0056457	-	4	1021--1030	Journal of Cell Science	paper	1487486	-	103
FBrf0201619	10.1242/jcs.014290	20	3578--3588	Journal of Cell Science	paper	17895363	-	120
FBrf0144951	-	6	1107--1112	Journal of Cell Science	paper	11884511	-	115
FBrf0217222	10.1242/jcs.097949	24	4138--4139	Journal of Cell Science	letter	22247189	-	124
FBrf0204919	10.1242/jcs.026559	11	1926--1936	Journal of Cell Science	paper	18477609	FBrf0210426	121
FBrf0145576	-	16	2895--2902	Journal of Cell Science	review	11686293	-	114
FBrf0217336	10.1242/jcs.096644	1	233--245	Journal of Cell Science	paper	22266901	-	125
FBrf0205095	10.1242/jcs.018655	10	1693--1703	Journal of Cell Science	paper	18445687	-	121
FBrf0108768	-	14	2323--2334	Journal of Cell Science	paper	10381388	-	112
FBrf0138441	-	15	2787--2794	Journal of Cell Science	paper	11683412	-	114
FBrf0194213	10.1242/jcs.03325	1	77--85	Journal of Cell Science	paper	17148572	-	120
FBrf0192667	10.1242/jcs.02983	Pt 12	2542--2551	Journal of Cell Science	paper	16735441	-	119
FBrf0052267	-	1	35--42	Journal of Cell Science	paper	2373743	-	96
FBrf0054418	-	4	729--733	Journal of Cell Science	paper	1687686	-	100
FBrf0230493	10.1242/jcs.174573	24	4538--4549	Journal of Cell Science	paper	26527400	-	128
FBrf0027736	-	-	449--459	Journal of Cell Science	paper	805154	-	17
FBrf0105299	-	18	2753--2761	Journal of Cell Science	paper	9718368	-	111
